game,word,score0,abaca,3
1383,drupe,4
1384,dryad,6
1385,dryas,5
1386,dryer,5
1387,ducal,3
1388,ducat,4
1389,duchy,3
1390,ducks,3
1391,dukes,5
1392,dulce,4
1393,dulia,4
1394,dully,5
1395,dulse,4
1396,dummy,6
1397,dumps,4
1398,dumpy,4
1399,dunce,4
1400,duped,5
1401,duple,4
1402,dural,4
1403,durga,4
1404,durio,4
1405,durra,4
1406,durum,4
1407,dusky,4
1408,dusty,5
1409,dutch,3
1410,duval,5
1411,dwarf,4
1412,dwell,3
1413,dyaus,5
1414,dying,3
1415,dylan,4
1416,eager,8
1417,eagle,3
1418,eagre,4
1419,eared,6
1420,early,4
1421,earth,3
1422,easel,6
1423,eaten,7
1424,eater,7
1425,eaves,8
1426,eblis,4
1427,ebony,4
1428,eclat,4
1429,edema,5
1430,edged,5
1431,edger,4
1432,edict,4
1433,edify,3
1434,edile,3
1435,educe,4
1436,educt,4
1437,eerie,5
1438,eggar,4
1439,egret,5
1440,egypt,4
1441,eider,7
1442,eight,3
1443,eisen,5
1444,eject,4
1445,eland,3
1446,elate,7
1447,elbow,4
1448,elder,4
1449,elead,5
1450,elect,3
1451,elegy,4
1452,elemi,4
1453,eleve,6
1454,elfin,3
1455,elief,4
1456,eliot,5
1457,elite,5
1458,elmos,4
1459,eloge,4
1460,elope,5
1461,elops,4
1462,elude,5
1463,elver,5
1464,elves,5
1465,embay,5
1466,embed,3
1467,ember,4
1468,emery,5
1469,emile,5
1470,emmer,5
1471,emmet,5
1472,emply,4
1473,empta,5
1474,empty,5
1475,enact,3
1476,ename,4
1477,enate,6
1478,enbas,4
1479,ended,5
1480,endow,5
1481,endue,5
1482,enema,5
1483,enemy,5
1484,enets,5
1485,enjoy,4
1486,enlil,4
1487,ennui,5
1488,ensis,5
1489,ensue,5
1490,enter,5
1491,entre,4
1492,entry,4
1493,envoy,5
1494,eolus,4
1495,eosin,4
1496,epact,4
1497,ephah,3
1498,ephor,3
1499,epoch,2
1500,epode,6
1501,epona,4
1502,epoxy,5
1503,eppur,5
1504,epsom,5
1505,equal,5
1506,equip,5
1507,equus,5
1508,erase,5
1509,erato,3
1510,erect,5
1511,ergot,4
1512,erica,3
1513,erode,6
1514,erose,5
1515,erous,5
1516,error,5
1517,erste,5
1518,eruca,4
1519,erunt,5
1520,espri,5
1521,essay,5
1522,essen,5
1523,ester,6
1524,estop,5
1525,etage,5
1526,ether,5
1527,ethic,3
1528,ethos,5
1529,ethyl,5
1530,etude,5
1531,eundo,4
1532,evade,5
1533,event,5
1534,evert,7
1535,every,7
1536,evict,4
1537,evoke,5
1538,evove,6
1539,exact,5
1540,exalt,4
1541,excel,4
1542,exegi,5
1543,exert,7
1544,exile,6
1545,exist,5
1546,exode,7
1547,expel,6
1548,extol,5
1549,extra,5
1550,exude,6
1551,exult,4
1552,faber,4
1553,fable,3
1554,faced,2
1555,facer,3
1556,faces,4
1557,facet,5
1558,facia,4
1559,facie,3
1560,facit,3
1561,facon,3
1562,facta,5
1563,facti,4
1564,facto,3
1565,facts,4
1566,faded,3
1567,fadge,2
1568,fagin,3
1569,fagot,4
1570,fagus,4
1571,fails,4
1572,faint,4
1573,faire,3
1574,fairy,4
1575,faith,3
1576,faker,3
1577,fakir,3
1578,falak,4
1579,falco,3
1580,falln,3
1581,falls,5
1582,false,4
1583,falsi,3
1584,famed,3
1585,fames,4
1586,fancy,4
1587,fandi,2
1588,fando,3
1589,fangs,3
1590,fanny,5
1591,fanon,4
1592,farad,4
1593,farce,3
1594,fargo,3
1595,farsi,4
1596,fatal,5
1597,fated,4
1598,fates,5
1599,fatso,4
1600,fatta,7
1601,fatty,6
1602,faugh,2
1603,fauld,3
1604,faule,5
1605,fault,5
1606,fauna,4
1607,faust,5
1608,faute,5
1609,favet,5
1610,favor,4
1611,fears,3
1612,feast,3
1613,feats,4
1614,feaze,5
1615,fecal,3
1616,feces,5
1617,fecit,3
1618,feels,4
1619,feeze,7
1620,feign,3
1621,feint,3
1622,felis,3
1623,felix,4
1624,felon,3
1625,femme,4
1626,femur,3
1627,fence,3
1628,fenny,4
1629,feoff,5
1630,feral,4
1631,ferat,5
1632,feria,3
1633,feroe,4
1634,ferre,5
1635,ferry,5
1636,fesse,6
1637,fetal,5
1638,fetch,2
1639,feted,3
1640,fetid,3
1641,fetor,4
1642,fetus,4
1643,fever,5
1644,fewer,6
1645,fianc,3
1646,fiber,3
1647,fichu,3
1648,ficus,4
1649,fidei,4
1650,fides,3
1651,fidus,4
1652,fieff,4
1653,field,2
1654,fiend,3
1655,fieri,4
1656,fiery,3
1657,fifer,7
1658,fifth,5
1659,fifty,4
1660,fight,3
1661,filar,3
1662,filch,2
1663,filer,3
1664,files,4
1665,fille,3
1666,filly,4
1667,filmy,3
1668,filth,3
1669,final,3
1670,finch,3
1671,finds,3
1672,fined,3
1673,finem,3
1674,finer,4
1675,finis,4
1676,fiord,2
1677,fires,4
1678,firma,4
1679,first,3
1680,firth,4
1681,fishs,4
1682,fishy,3
1683,fitly,4
1684,fiver,5
1685,fives,5
1686,fixed,4
1687,fixer,6
1688,fjord,3
1689,flags,3
1690,flail,4
1691,flair,3
1692,flake,3
1693,flaky,5
1694,flamb,2
1695,flame,4
1696,flank,3
1697,flant,4
1698,flare,5
1699,flash,2
1700,flask,4
1701,flats,5
1702,fleck,2
1703,fleer,4
1704,fleet,4
1705,flesh,2
1706,fleur,3
1707,flick,2
1708,flier,3
1709,flies,4
1710,fling,3
1711,flint,4
1712,flirt,3
1713,float,4
1714,flock,3
1715,flood,3
1716,floor,4
1717,flora,4
1718,floss,5
1719,flour,3
1720,flout,4
1721,flown,3
1722,fluff,4
1723,fluid,3
1724,fluke,3
1725,flume,4
1726,flunk,3
1727,flush,3
1728,flute,5
1729,flyer,4
1730,foamy,4
1731,focal,3
1732,focis,3
1733,focus,3
1734,foehn,3
1735,fogey,4
1736,foggy,4
1737,foils,3
1738,foist,4
1739,folio,4
1740,folks,3
1741,folly,4
1742,fomes,4
1743,fomor,4
1744,fools,4
1745,foots,4
1746,foram,4
1747,foray,5
1748,force,3
1749,forge,3
1750,forma,4
1751,forms,3
1752,forte,4
1753,forth,3
1754,forti,3
1755,forty,4
1756,forum,4
1757,fossa,5
1758,fosse,4
1759,fouet,5
1760,foule,3
1761,found,3
1762,fount,5
1763,fours,3
1764,fovea,4
1765,fowls,4
1766,foyer,4
1767,fraca,3
1768,frail,3
1769,frais,3
1770,frame,3
1771,franc,3
1772,frank,3
1773,frapp,4
1774,fraud,3
1775,fraus,4
1776,freak,3
1777,freed,4
1778,fresh,3
